"data_zone","simd_rank"
"S01007852",512
"S01007853",1231
"S01007854",697
"S01007855",771
"S01007856",2323
"S01007857",868
"S01007858",691
"S01007859",178
"S01007860",2027
"S01007861",1018
"S01007862",799
"S01007863",74
"S01007864",1148
"S01007865",6816
"S01007866",5837
"S01007867",5400
"S01007868",5781
"S01007869",6007
"S01007870",2134
"S01007871",103
"S01007872",259
"S01007873",2687
"S01007874",1757
"S01007875",1390
"S01007876",2335
"S01007877",888
"S01007878",603
"S01007879",427
"S01007880",3213
"S01007881",589
"S01007882",4223
"S01007883",3781
"S01007884",1904
"S01007885",106
"S01007886",960
"S01007887",5390
"S01007888",618
"S01007889",838
"S01007890",1952
"S01007891",2390
"S01007892",3975
"S01007893",5063
"S01007894",3180
"S01007895",3822
"S01007896",897
"S01007897",3135
"S01007898",4866
"S01007899",2853
"S01007900",350
"S01007901",561
"S01007902",115
"S01007903",1790
"S01007904",3421
"S01007905",457
"S01007906",1352
"S01007907",1604
"S01007908",2878
"S01007909",2073
"S01007910",1102
"S01007911",2083
"S01007912",1414
"S01007913",703
"S01007914",721
"S01007915",1685
"S01007916",1884
"S01007917",1698
"S01007918",2011
"S01007919",6067
"S01007920",4641
"S01007921",398
"S01007922",567
"S01007923",2739
"S01007924",1202
"S01007925",5474
"S01007926",4538
"S01007927",4911
"S01007928",4377
"S01007929",5806
"S01007930",6435
"S01007931",4519
"S01007932",5670
"S01007933",3907
"S01007934",2557
"S01007935",3898
"S01007936",6310
"S01007937",5123
"S01007938",2380
"S01007939",1268
"S01007940",2372
"S01007941",5839
"S01007942",2340
"S01007943",2751
"S01007944",2022
"S01007945",1066
"S01007946",1213
"S01007947",3383
"S01007948",640
"S01007949",3719
"S01007950",4961
"S01007951",3034
"S01007952",1087
"S01007953",1969
"S01007954",215
"S01007955",933
"S01007956",1119
"S01007957",1519
"S01007958",397
"S01007959",3247
"S01007960",1966
"S01007961",3865
"S01007962",387
"S01007963",7
"S01007964",320
"S01007965",706
"S01007966",170
"S01007967",282
"S01007968",1844
"S01007969",1278
"S01007970",1021
"S01007971",869
"S01007972",1958
"S01007973",5429
"S01007974",437
"S01007975",738
"S01007976",1411
"S01007977",3402
"S01007978",2422
"S01007979",3663
"S01007980",4206
"S01007981",4811
"S01007982",5096
"S01007983",1664
"S01007984",2797
"S01007985",740
"S01007986",2958
"S01007987",2623
"S01007988",1938
"S01007989",792
"S01007990",2145
"S01007991",5487
"S01007992",6199
"S01007993",6266
"S01007994",6405
"S01007995",5992
"S01007996",6480
"S01007997",5005
"S01007998",3640
"S01007999",896
"S01008000",222
"S01008001",17
"S01008002",28
"S01008003",1343
"S01008004",5149
"S01008005",5613
"S01008006",36
"S01008007",581
"S01008008",391
"S01008009",114
"S01008010",1163
"S01008011",308
"S01008012",1869
"S01008013",2351
"S01008014",3816
"S01008015",1614
"S01008016",1713
"S01008017",5574
"S01008018",5656
"S01008019",5672
"S01008020",3877
"S01008021",5820
"S01008022",6104
"S01008023",6647
"S01008024",6899
"S01008025",4613
"S01008026",1960
"S01008027",988
"S01008028",3591
"S01008029",3346
"S01008030",3221
"S01008031",1799
"S01008032",2665
"S01008033",6662
"S01008034",6707
"S01008035",4949
"S01008036",6345
"S01008037",2059
"S01008038",2442
"S01008039",3407
"S01008040",5739
"S01008041",4593
"S01008042",5924
"S01008043",6687
"S01008044",6549
"S01008045",5154
"S01008046",2783
"S01008047",6574
"S01008048",6315
"S01008049",6522
"S01008050",6747
"S01008051",6551
"S01008052",6607
"S01008053",6766
"S01008054",5821
"S01008055",6857
"S01008056",5675
"S01008057",6456
"S01008058",6634
"S01008059",6154
"S01008060",6587
"S01008061",5460
"S01008062",5799
"S01008063",6461
"S01008064",2191
"S01008065",6525
"S01008066",6930
"S01008067",6656
"S01008068",5711
"S01008069",5333
"S01008070",4374
"S01008071",5252
