"data_zone","education","health","housing","access","crime","income","employment"
"S01008612",4717,5052,388,6055,4857,4115,4636
"S01008613",5893,6343,1220,6531,2838,6049,6115
"S01008614",3761,5302,300,6899,3729,5896,5752
"S01008615",6807,6064,446,6865,5266,6301,6133
"S01008616",6655,6956,106,6909,5737,6784,6878
"S01008617",6732,6883,396,6732,4503,6935,6961
"S01008618",6564,6970,239,6846,5890,6906,6880
"S01008619",5498,6757,534,6398,6715,6069,6415
"S01008620",6854,6929,497,6666,5781,6797,6896
"S01008621",6841,6968,516,6879,6253,6777,6813
"S01008622",6908,6889,1421,6480,6716,6823,6768
"S01008623",6689,6966,693,6094,4553,6834,6923
"S01008624",6932,6211,5109,5580,3162,4907,6216
"S01008625",6964,6466,6197,3556,1284,6092,5511
"S01008626",6853,6922,4534,6379,3636,6440,6343
"S01008627",6965,6413,6504,5815,2286,6971,6947
"S01008628",6733,5568,2216,5539,3342.5,5409,5697
"S01008629",6363,6245,2003,6753,4326,5237,4973
"S01008630",6862,6534,1559,6930,2930,6268,6607
"S01008631",6770,5747,529,6942,4146,5182,4476
"S01008632",4577,3402,1237,6071,840,4255,2481
"S01008633",6577,5355,5408,4709,2888,5509,4988
"S01008634",6930,6543,2093,5662,4836,6671,6367
"S01008635",6643,6727,3908,6266,2292,6164,6184
"S01008636",6697,6498,2037,6815,889,6660,6759
"S01008637",6680,6339,1992,6896,5103.5,5849,6640
"S01008638",5879,4289,937,6728,6142,3775,5964
"S01008639",6233,5385,1048,6422,3965,5051,4765
"S01008640",6466,6876,1260,6933,4434,6699,6682
"S01008641",6975,6950,533,6975,5264,6805,6842
"S01008642",6700,6896,1166,6868,5149,6355,6703
"S01008643",6760,6858,1550,6492,5872,5705,5914
"S01008644",6634,5505,697,5946,4351,4013,4814
"S01008645",5319,6851,862,6867,6041,5234,6706
"S01008646",6402,6414,549,6095,5273,5398,5988
"S01008647",5921,6653,647,6322,4397,5222,5696
"S01008648",3964,5123,329,6922,4140,4704,4251
"S01008649",5937,3803,35,5827,4731,4193,4264
"S01008650",3733,4135,14,6812,1776,4485,3741
"S01008651",2265,3818,26,6393,1574,4233,4049
"S01008652",3268,2714,2,6798,491,2328,1446
"S01008653",1655,3075,53,6916,1653,2457,3152
"S01008654",1292,3399,22,6907,2615,3749,2472
"S01008655",2067,3980,237,6836,1047,4026,3833
"S01008656",2462,1572,7,6869,3595,1957,1295
"S01008657",2554,3422,1465,6326,2885,3378,2939
"S01008658",4390,3304,203,5606,3738,3532,3139
"S01008659",2215,2952,158,6669,746,3472,3409
"S01008660",5113,6261,284,6001,55,6106,5834
"S01008661",3672,4574,61,6671,1334,4004,4032
"S01008662",5027,3558,208,6962,1066,4128,3434
"S01008663",4304,2580,65,6929,176,3261,2989
"S01008664",3084,4724,267,6966,2130,4362,4208
"S01008665",3578,4630,113,6954,1590,4180,4181
"S01008666",6390,6743,144,6951,5000,6480,6646
"S01008667",6232,6080,584,6600,1683.5,5286,5672
"S01008668",5256,6716,62,6497,3364,5687,5731
"S01008669",5301,6877,193,6709,1597,6829,6788
"S01008670",5699,6575,133,6829,1062,5916,6451
"S01008671",6451,5554,117,6834,2127,5252,5488
"S01008672",4695,6410,194,6863,1104,5751,6108
"S01008673",4104,4777,58,5466,173,4643,4281
"S01008674",2227,4791,52,6678,36,4766,4376
"S01008675",2511,2922,30,5837,616,3510,2417
"S01008676",4672,3812,1115,6044,8,4502,3940
"S01008677",2157,3617,63,5005,4,4160,3317
"S01008678",4649,2985,95,6158,56,4375,3985
"S01008679",5237,1362,48,6300,29,1970,1216
"S01008680",3602,4184,55,6860,166,3985,3863
"S01008681",775,3637,148,6888,325,3232,3633
"S01008682",2116,4138,124,6051,1260,3887,3467
"S01008683",1789,2020,178,5147,1383,2233,2267
"S01008684",1047,1952,328,3530,512,1481,1207
"S01008685",1138,1259,561,4723,563,2178,1771
"S01008686",2514,1787,305,5151,1545,1611,1454
"S01008687",457,5458,37,2406,2898,4236,4209
"S01008688",1853,6066,278,3032,4606,3588,3554
"S01008689",3494,4491,155,6693,686,4368,4390
"S01008690",4894,5291,479,5320,3428,4211,4697
"S01008691",2330,4733,142,4226,1170,3363,3192
"S01008692",4171,5115,268,4209,1773,4525,3807
"S01008693",3451,4312,4096,3985,3740,4850,4668
"S01008694",4096,5709,569,3484,4645,5049,4785
"S01008695",3117,4949,2143,5698,3766.5,4270,4720
"S01008696",6283,6886,4151,4168,4558,5720,6171
"S01008697",6230,6572,4762,4131,2990,5479,5626
"S01008698",4744,4820,5615,5773,3614,3819,4881
"S01008699",2206,3038,1370,4836,3129,2192,2261
"S01008700",6165,6047,4330,3720,2323,6343,5946
"S01008701",1007,549,809,4507,874,1504,1215
"S01008702",2000,4106,111,6355,613,1940,2815
"S01008703",241,425,1008,5999,773,202,461
"S01008704",559,992,1420,5457,65,1493,1471
"S01008705",346,919,1898,6297,2142,265,846
"S01008706",391,2178,842,5478,492,3787,3828
"S01008707",128,147,1212,4332,1299,90,186
"S01008708",105,156,1112,3681,1812,464,135
"S01008709",202,882,676,3946,2693,951,875
"S01008710",321,73,463,3426,471,1,1
"S01008711",247,991,1190,4299,1843,258,746
"S01008712",35,168,943,4263,509,239,71
"S01008713",124,586,778,5647,1696,67,184
"S01008714",969,1599,1207,5993,1101,1276,658
"S01008715",1080,1494,1222,4265,1633,1295,1277
"S01008716",810,2076,2152,3194,3023,968,1327
"S01008717",2598,4580,4158,6401,1953,3115,4185
"S01008718",2734,4032,1520,5968,1649,4092,4601
"S01008719",1469,3798,2651,3960,3953,3292,4398
"S01008720",2401,2406,1095,2816,735,2888,2562
"S01008721",5118,5980,5347,928,4021,6226,5961
"S01008722",5801,3636,5279,2759,4454,4287,4133
"S01008723",4700,6174,4377,2081,5409,6375,5493
"S01008724",5845,4512,4993,3700,4299,5077,5345
"S01008725",5759,4206,3041,3966,1972,4745,3967
"S01008726",6834,6700,6737,4885,4613,6955,6847
"S01008727",6241,4904,3556,5527,4321,5103,4797
"S01008728",1942,2966,975,6543,2617,1670,1996
"S01008729",6572,6116,3570,6558,1608,5819,6544
"S01008730",3723,4035,454,6274,3598,2745,3414
"S01008731",2745,2827,1269,4644,710,2582,2788
"S01008732",3312,2546,260,5762,3002,1827,1470
"S01008733",2893,3848,198,4509,1521,4123,3372
"S01008734",4197,4460,3937,6625,2781,4367,3796
"S01008735",6196,5930,6183,6528,1960,6474,5835
"S01008736",5227,4932,4959,6473,2029,4386,4370
"S01008737",5862,5919,4718,5670,3512,6269,6080
"S01008738",5269,6587,6269,6309,2297,5917,6495
"S01008739",4129,5401,2843,5083,2442,4021,3881
"S01008740",3729,6463,3934,4088,3808,5922,5847
"S01008741",5836,5942,4179,5115,3696,5845,5841
"S01008742",4682,3221,4244,6741,495,3438,3783
"S01008743",794,2791,1131,6031,585,1850,2982
"S01008744",3013,2902,1825,5630,3538,2801,3460
"S01008745",4299,6327,3251,5651,2283.5,5264,4808
"S01008746",1358,1663,620,5205,846,1228,1294
"S01008747",5804,5818,5650.5,6164,2810,5668,5536
"S01008748",5304,6388,5444,5983,4068,5627,6485
"S01008749",3542,5844,4876,4526,2513,5284,5255
"S01008750",5450,5577,5585,6410,4738,5785,5075
"S01008751",3294,2505,3448,5418,952,1641,1765
"S01008752",725,521,1758,4793,802,279,281
"S01008753",1837,1337,989,4281,2113,1007,957
"S01008754",1619,3086,2953,3769,2169,3151,2822
"S01008755",1179,1970,459,4197,877,1821,1927
"S01008756",577,1401,627,5583,954,1188,853
"S01008757",385,26,721,4015,169,80,60
"S01008758",724,544,1284,5726,440,766,749
"S01008759",406,514,725,5570,1282,575,403
"S01008760",836,188,1086,6792,631,264,152
"S01008761",2345,2863,991,5635,2626,4361,3601
"S01008762",4122,3978,1563,5876,1120,4935,5055
"S01008763",5761,5386,2301,5807,6197,5379,5905
"S01008764",4976,4393,3636,6196,1125,4195,4012
"S01008765",4887,3618,2048,6430,3057,4867,3474
"S01008766",4435,4390,3867,5915,3101,3995,3798
"S01008767",4320,4485,1380,3162,3836,2811,3191
"S01008768",3423,2470,496,3871,281,4111,2719
"S01008769",5261,5261,405,6546,1849,2858,3296
"S01008770",4183,6602,196,1339,3430,3778,4623
"S01008771",2764,4693,2222,3896,2404,3856,3840
"S01008772",5592,4484,1658,6101,2263,4523,5130
"S01008773",2367,2229,297,5864,2298,2996,2329
"S01008774",1465,1139,378,6232,388,1661,1058
"S01008775",5526,3852,1308,6685,407,3161,2635
"S01008776",1772,800,147,6717,542,1066,682
"S01008777",1030,423,417,6289,804,816,378
"S01008778",2784,3612,442,5289,3230,3491,3113
"S01008779",3776,6578,2388,5089,4378,5817,5286
"S01008780",1480,4309,673,5765,1868,3368,3235
"S01008781",2560,2293,204,5162,1023,3006,2693
"S01008782",1708,2629,621,6535,2672,2406,2614
"S01008783",4511,6474,482,6237,1339,3680,3691
"S01008784",2032,5506,651,6088,3192,4923,4635
"S01008785",1732,709,510,6204,327,663,611
"S01008786",2285,2668,130,6947,428,3394,2717
"S01008787",126,103,367,6251,279,134,5
"S01008788",2080,4291,91,6919,794,4134,4439
"S01008789",2034,982,427,6605,443,785,1305
"S01008790",2486,1391,404,6941,38,1527,1243
"S01008791",2105,5349,314,6079,403,2854,4288
"S01008792",2676,2512,502,6785,286,2357,2260
"S01008793",1357,1785,39,6937,82,1773,1244
"S01008794",2038,1280,585,6357,2790,1855,2623
"S01008795",3949,4352,139,6445,4425,4288,3957
"S01008796",1888,2190,102,6734,1140,3255,3184
"S01008797",2933,3451,108,6760,2270,3544,3687
"S01008798",3495,4040,210,6120,1993,2889,2738
"S01008799",1776,4172,29,4284,1837,3880,4317
"S01008800",3559,5498,3,4180,5041,4262,4041
"S01008801",1904,4377,118,6029,1547,3982,3678
"S01008802",2678,2349,27,5455,3761,2962,3002
"S01008803",2435,1720,64,6219,1443,2412,2150
"S01008804",2922,1697,10,5648,799,2426,2444
"S01008805",3845,4895,397,6342,1873,4981,5018
"S01008806",3480,5659,341,5739,2105,4636,4482
"S01008807",2995,3613,211,6570,3830.5,3533,3376
"S01008808",5421,3303,1013,6890,2321,3238,2910
"S01008809",4177,6775,1330,5318,661,5786,5107
"S01008810",4346,6938,2013,6657,5079.5,5840,6645
"S01008811",6265,6712,729,6810,1739,6304,5869
"S01008812",4946,6514,517,6850,3950,5499,5927
"S01008813",2251,2379,420,4493,2433,2272,1754
"S01008814",4393,4782,644,6464,1486,3754,3358
"S01008815",2688,3717,161,6263,1650,2630,2438
"S01008816",2558,3485,343,6197,1710,3941,3169
"S01008817",1820,2425,386,6229,960,2639,2372
"S01008818",5489,5743,841,5121,2217,5361,5116
"S01008819",6420,4064,2824,6453,1338,5314,4854
"S01008820",2199,1688,415,6946,655,1777,1343
"S01008821",5755,6331,2118,6835,3443,4601,5918
"S01008822",6806,6739,4916,6673,3277,5470,5265
"S01008823",6461,5986,4852,6522,1411,5357,5864
"S01008824",6148,6204,3684,6295,3076,5728,6377
"S01008825",6432,5724,4566,5816,2386,6231,6603
"S01008826",5720,3525,475,4743,1700,4075,2702
"S01008827",6961,6504,6466,4151,1683.5,6547,6671
"S01008828",5473,6296,1980,4555,2703,5633,5246
"S01008829",5886,5678,4701,5851,2207,5100,5363
"S01008830",5834,5904,5006,5440,1731,6299,5184
"S01008831",6814,6611,6482,5451,1544,6199,5775
"S01008832",6658,5373,5565,3430,2122,6555,5861
"S01008833",6803,5037,4596,6887,5980,5429,6316
"S01008834",6639,5855,4954,6483,3474,6594,6131
"S01008835",5506,5529,4768,5992,2784,4761,4621
"S01008836",2046,1809,691,2934,3501,3007,2059
"S01008837",5014,5309,146,4122,4824,4365,3887
"S01008838",3397,5956,468,6030,3043,5520,5068
"S01008839",5807,5834,1012,5550,3714,5397,4441
"S01008840",5257,6337,1368,5345,4559,6400,6356
"S01008841",4997,6830,1701,5081,2920,6868,6579
"S01008842",4473,6608,2080,2878,5863,5338,6610
"S01008843",5448,5411,643,6589,1985,4663,4432
"S01008844",5680,5751,1029,5778,4853,5310,5364
"S01008845",6220,6793,2088,6843,600,6322,6763
"S01008846",5825,5023,2134,6127,2870,4699,4500
"S01008847",5762,6962,2113,5958,3066,6528,6616
"S01008848",4465,6277,2656,4776,2151,5386,4444
"S01008849",6502,6878,1125,5114,763,6855,6513
"S01008850",6712,6907,3181,6083,4471,6881,6584
"S01008851",6345,3699,366,6622,4023,3174,3195
"S01008852",6615,6699,4664,4845,3791,6537,6226
"S01008853",6937,6662,939,5159,3589,6608,6403
"S01008854",6022,6971,1714,5231,5349,6920,6876
"S01008855",6789,6690,1986,6324,5683,6668,6301
"S01008856",6747,6621,550,6764,4560,5542,6067
"S01008857",6556,6620,2254,5106,5453,6200,5974
"S01008858",5451,6925,3354,3744,3970.5,6258,6605
"S01008859",5223,5191,934,6511,4636,4749,6252
"S01008860",4941,4927,1123,6822,2684,4471,4815
"S01008861",6970,6955,5056,5356,2740,6913,6928
"S01008862",5671,6055,724,6765,6039,5502,5530
"S01008863",6763,5459,3400,6756,3987,6042,6323
"S01008864",6665,6758,4719,2718,5059,6358,6696
"S01008865",6415,6678,3350,4920,6427,6215,6548
"S01008866",6917,6826,3121,5852,5365,6758,6738
"S01008867",6935,6964,4771,4436,4513.5,6726,6835
"S01008868",6313,6561,839,4957,52,5356,4933
"S01008869",6891,6307,2867,4753,4600,5780,5673
"S01008870",6926,6677,2290,2720,3937,6424,6583
"S01008871",6487,6870,2175,6314,3766.5,6621,6713
"S01008872",3281,6777,2885,5808,2059,5130,5431
"S01008873",6885,6864,4940.5,5335,1925,6848,6699
